bug_id,avg_process_failing_time,avg_hotswap_failing_time,avg_hotswap_time,avg_process_regression_time,avg_hotswap_regression_time,regular_count,process_timeout_count,hotswap_timeout_count
Math_1,259,23,10,,,6,0,0
Math_2,320,44,12,,,1,0,0
Math_3,244,81,65,,,6,0,0
Math_4,202,28,23,,,44,0,0
Math_5,249,26,14,,,17,0,0
Math_6,2649,2475,7,,,646,26,26
Math_7,283,25,7,,,141,5,5
Math_8,245,74,34,,,23,0,0
Math_9,190,17,12,,,6,0,0
Math_10,1501,1013,14,,,48,0,0
Math_11,390,125,21,,,35,0,0
Math_12,891,189,4,,,71,5,5
Math_13,229,72,48,,,2,0,0
Math_14,,,,,,0,0,0
Math_15,5366,1684,2,,,100,19,1
Math_16,5809,2607,6,,,119,20,1
Math_17,649,67,24,,,464,15,6
Math_18,3102,2913,7,,,338,25,26
Math_19,3313,3289,19,,,115,0,0
Math_20,2954,2799,6,,,339,25,25
Math_21,190,24,18,,,25,0,0
Math_22,462,33,8,,,14,0,0
Math_23,201,13,8,,,137,0,0
Math_24,193,16,12,178130,168059,144,0,0
Math_25,219,43,24,,,40,0,0
Math_26,170,18,13,,,6004,0,0
Math_27,,,,,,0,0,0
Math_28,315,50,17,195984,181265,164,0,0
Math_29,308,69,3,,,136,3,3
Math_30,193,22,16,,,39,0,0
Math_31,285,25,10,,,108,0,0
Math_32,246,30,11,,,575,4,4
Math_33,343,83,8,,,154,0,0
Math_34,238,10,6,,,20,0,0
Math_35,178,17,12,,,120,0,0
Math_36,216,14,6,,,2,0,0
Math_37,208,36,14,,,99,8,8
Math_38,1835,1588,13,,,194,0,0
Math_39,246,60,17,,,20,0,0
Math_40,230,21,16,137614,142952,75,0,0
Math_41,207,10,5,,,55,0,0
Math_42,323,79,7,,,144,0,0
Math_43,227,16,9,151109,125729,119,0,0
Math_44,185,12,10,,,125,1,0
Math_45,149,16,13,,,184,0,0
Math_46,282,17,5,,,43,0,0
Math_47,290,16,7,,,74,0,0
Math_48,222,16,12,,,47,0,0
Math_49,296,22,17,,,67,0,0
Math_50,230,25,21,96281,85499,47,0,0
Math_51,243,16,12,,,47,0,0
Math_52,,,,,,0,0,0
Math_53,,,,,,0,0,0
Math_54,668,68,8,,,709,139,48
Math_55,,,,,,0,0,0
Math_56,268,13,8,,,46,0,0
Math_57,361,155,2,83076,78947,19,6,6
Math_58,265,43,7,88661,82102,307,25,25
Math_59,5144,1605,2,,,101,18,1
Math_60,259,30,6,18289,18429,89,13,13
Math_61,328,51,4,,,6,0,0
Math_62,205,6,4,,,138,0,0
Math_63,679,258,11,,,13,0,0
Math_64,300,97,3,,,296,4,4
Math_65,245,41,2,,,171,4,4
Math_66,301,111,1,,,227,15,16
Math_67,148,10,1,,,111,7,7
Math_68,318,100,3,,,294,4,4
Math_69,196,10,5,,,206,0,0
Math_70,,,,,,0,0,0
Math_71,377,99,2,12659,10939,187,50,50
Math_72,172,6,3,,,25,0,0
Math_73,163,6,3,,,49,0,0
Math_74,345,100,2,,,132,43,43
Math_75,172,12,9,,,41,0,0
Math_76,183,13,9,,,218,0,0
Math_77,227,15,9,,,44,0,0
Math_78,208,8,5,,,53,0,0
Math_79,181,6,3,,,6,0,0
Math_80,270,65,10,11494,11193,494,14,14
Math_81,286,77,22,10667,4760,504,5,5
Math_82,240,20,5,8326,3235,100,0,0
Math_83,239,19,3,,,115,0,0
Math_84,199,16,8,8669,2828,51,1,1
Math_85,213,20,3,8353,3718,154,14,14
Math_86,222,18,12,,,22,0,0
Math_87,251,18,3,,,129,0,0
Math_88,248,21,4,8472,3358,151,0,0
Math_89,,,,,,0,0,0
Math_90,163,15,9,,,1,0,0
Math_91,216,40,1,,,18,20,9
Math_92,219,12,3,,,104,0,0
Math_93,202,19,3,,,18,0,0
Math_94,,,,,,0,0,0
Math_95,273,130,0,,,61,13,13
Math_96,206,14,2,,,1,0,0
Math_97,,,,,,0,0,0
Math_98,210,16,3,,,12,0,0
Math_99,515,295,2,,,42,24,24
Math_100,206,9,2,,,50,0,0
Math_101,217,11,2,,,42,0,0
Math_102,205,13,1,,,144,9,9
Math_103,197,4,1,,,12,0,0
Math_104,134,5,2,,,46,0,0
Math_105,194,4,1,,,6,0,0
Math_106,162,17,1,,,54,18,9
Chart_1,181,11,8,6660,4148,14,0,0
Chart_2,146,6,2,,,66,0,0
Chart_3,145,8,3,,,57,0,0
Chart_4,718,34,6,,,275,0,0
Chart_5,124,7,2,,,32,0,0
Chart_6,103,4,2,,,38,0,0
Chart_7,122,6,2,6565,3768,74,0,0
Chart_8,,,,,,0,0,0
Chart_9,139,7,3,,,86,0,0
Chart_10,,,,,,0,0,0
Chart_11,88,4,2,,,21,0,0
Chart_12,258,8,4,,,17,0,0
Chart_13,128,4,2,,,97,0,0
Chart_14,479,32,4,,,53,0,0
Chart_15,242,6,2,,,354,0,0
Chart_16,152,5,2,,,12,0,0
Chart_17,184,8,3,,,46,0,0
Chart_18,229,12,2,,,24,0,0
Chart_19,529,22,6,,,129,0,0
Chart_20,,,,,,0,0,0
Chart_21,116,4,2,,,76,0,0
Chart_22,93,4,2,,,70,0,0
Chart_23,277,9,4,,,18,0,0
Chart_24,,,,,,0,0,0
Chart_25,282,13,5,5735,3530,680,0,0
Chart_26,562,35,6,5712,3500,747,0,0
Lang_1,125,24,18,,,122,0,0
Lang_2,103,23,19,,,105,0,0
Lang_3,125,29,22,,,105,0,0
Lang_4,83,27,22,,,91,0,0
Lang_5,98,22,18,,,113,0,0
Lang_6,220,37,19,,,113,0,0
Lang_7,120,25,18,,,113,0,0
Lang_8,211,39,12,,,79,15,15
Lang_9,1338,280,16,,,72,15,15
Lang_10,1424,341,17,,,72,15,15
Lang_11,102,23,19,,,89,0,0
Lang_12,104,26,22,,,89,0,0
Lang_13,157,31,24,,,90,0,0
Lang_14,129,9,3,,,25,0,0
Lang_15,136,9,3,,,31,0,0
Lang_16,117,10,2,,,52,0,0
Lang_17,254,75,2,,,64,0,0
Lang_18,121,6,3,,,64,0,0
Lang_19,105,5,3,,,40,0,0
Lang_20,209,10,2,,,40,0,0
Lang_21,204,14,2,,,9,0,0
Lang_22,139,39,3,,,3,0,0
Lang_23,1037,131,2,,,5,0,0
Lang_24,134,7,3,,,5,0,0
Lang_25,103,5,2,,,5,0,0
Lang_26,149,5,2,,,5,0,0
Lang_27,144,7,2,,,5,0,0
Lang_28,104,4,2,,,5,0,0
Lang_29,113,5,2,,,5,0,0
Lang_30,120,6,2,,,7,0,0
Lang_31,108,5,2,,,7,0,0
Lang_32,120,4,1,,,4,0,0
Lang_33,152,7,1,,,4,0,0
Lang_34,125,10,1,,,4,0,0
Lang_35,91,7,2,,,17,0,0
Lang_36,116,7,2,,,15,0,0
Lang_37,101,4,2,,,9,0,0
Lang_38,133,8,3,,,9,0,0
Lang_39,212,12,1,,,9,0,0
Lang_40,101,7,4,,,12,0,0
Lang_41,152,7,2,,,26,0,0
Lang_42,153,34,10,,,94,0,0
Lang_43,1024,230,1,,,8,3,0
Lang_44,98,4,1,9937,8349,68,0,0
Lang_45,85,4,2,9812,7959,66,0,0
Lang_46,206,49,1,,,30,0,0
Lang_47,118,11,5,,,18,0,0
Lang_48,,,,,,0,0,0
Lang_49,,,,,,0,0,0
Lang_50,,,,,,0,0,0
Lang_51,,,,,,0,0,0
Lang_52,,,,,,0,0,0
Lang_53,,,,,,0,0,0
Lang_54,,,,,,0,0,0
Lang_55,,,,,,0,0,0
Lang_56,,,,,,0,0,0
Lang_57,,,,,,0,0,0
Lang_58,,,,,,0,0,0
Lang_59,,,,,,0,0,0
Lang_60,110,7,3,,,73,0,0
Lang_61,110,14,2,,,77,4,4
Lang_62,137,54,5,,,97,0,0
Lang_63,159,10,2,9294,8874,72,0,0
Lang_64,189,43,1,,,33,0,0
Lang_65,171,9,1,,,40,0,0
Time_1,137,17,14,,,445,0,0
Time_2,189,22,16,,,402,35,0
Time_3,146,15,9,,,496,8,8
Time_4,185,21,14,,,404,35,0
Time_5,207,16,11,,,418,0,0
Time_6,130,14,12,,,450,0,0
Time_7,182,22,15,,,416,37,0
Time_8,194,21,12,,,410,31,0
Time_9,193,20,11,,,410,31,0
Time_10,156,16,12,,,429,26,0
Time_11,192,21,12,,,448,0,0
Time_12,165,12,7,,,389,31,0
Time_13,129,15,12,,,439,0,0
Time_14,183,20,14,,,428,26,0
Time_15,177,24,10,,,390,0,0
Time_16,228,27,16,,,539,38,0
Time_17,262,20,10,,,365,31,0
Time_18,347,33,9,,,387,0,3
Time_19,188,15,9,,,365,31,0
Time_20,141,16,5,,,419,31,31
Time_21,191,18,9,,,342,31,0
Time_22,189,18,13,,,447,0,0
Time_23,180,20,10,,,404,35,4
Time_24,168,21,15,6782,4042,631,41,0
Time_25,185,18,10,,,463,35,4
Time_26,188,18,8,,,576,39,8
Time_27,133,20,16,,,623,0,0
